습도,강수량,기온,풍속,한식,글로벌,패스트푸드,총배달건수,ㅎㅎ
48,0,0.5,1.8,2,1,28,322.5806451612903,1
45,0,0.5,1.7,5,0,20,400.0,3
63,0,3.1,1.4,0,2,9,909.0909090909092,0
75,0,1.5,0.0,2,0,27,344.8275862068965,0
75,0,1.1,0.2,4,1,29,294.11764705882354,4
77,0,1.1,0.4,0,1,36,270.27027027027026,0
74,0,1.6,0.4,3,0,33,277.7777777777777,0
69,0,3.3,0.9,0,0,19,526.3157894736843,0
68,0,7.2,3.0,1,2,14,588.2352941176471,1
73,0,7.4,1.6,2,0,13,666.6666666666666,1
94,0,5.7,0.9,3,0,19,454.5454545454546,1
78,0,5.3,1.3,2,4,28,294.11764705882354,1
65,0,5.2,2.0,2,1,26,344.8275862068965,0
64,0,4.8,2.0,5,0,34,256.4102564102564,2
61,0,4.4,2.2,4,2,19,400.0,0
56,0,4.1,2.2,1,0,22,434.78260869565224,0
39,0,1.1,2.7,4,0,8,833.3333333333331,2
42,0,0.4,2.2,1,3,16,500.0,0
46,0,-0.3,1.3,1,1,14,625.0,1
49,0,-0.9,0.9,2,2,12,625.0,0
48,0,-0.9,1.7,2,1,20,434.78260869565213,0
51,0,-1.3,0.9,1,1,37,256.41025641025635,0
55,0,-2.3,0.3,3,1,39,232.55813953488376,1
53,0,-1.6,0.7,4,2,29,285.7142857142858,0
58,0,-1.8,0.1,4,1,34,256.4102564102564,0
51,0,0.3,0.6,1,1,25,370.3703703703704,1
74,0,5.0,1.5,2,0,19,476.19047619047615,1
78,0,4.9,1.9,1,2,15,555.5555555555555,1
74,0,4.5,1.3,1,2,27,333.3333333333333,0
71,0,4.1,1.2,4,0,16,500.0,2
74,0,3.8,0.9,2,0,21,434.78260869565213,1
87,0,2.7,1.3,5,1,36,238.0952380952381,2
85,0,2.7,1.1,4,3,44,196.078431372549,0
79,0,3.1,1.3,1,2,47,200.0,0
81,0,3.6,1.0,4,0,37,243.90243902439025,1
70,0,5.5,1.3,4,1,20,400.0,1
49,0,1.4,2.3,4,2,22,357.14285714285717,3
50,0,1.1,2.1,2,2,24,357.1428571428571,1
53,0,0.7,3.2,3,3,38,227.2727272727273,1
56,0,0.2,1.7,3,3,29,285.7142857142857,1
54,0,0.1,1.8,1,0,36,270.27027027027026,0
54,0,-0.3,1.9,3,2,32,270.2702702702702,0
55,0,-0.6,1.6,7,0,30,270.27027027027026,2
54,0,-1.1,1.9,2,0,49,196.07843137254906,1
57,0,-1.7,0.7,2,0,44,217.39130434782612,1
58,0,-1.3,0.6,1,1,47,204.0816326530612,1
72,0,2.4,1.6,1,1,13,666.6666666666666,0
73,0,2.7,1.9,1,1,10,833.3333333333335,0
78,0,3.8,1.6,5,0,24,344.8275862068965,0
79,0,4.2,1.9,2,2,38,238.09523809523807,0
79,0,4.5,2.2,2,1,23,384.6153846153846,0
80,0,5.1,2.3,1,1,14,625.0,0
80,0,6.3,1.7,2,0,6,1250.0,2
83,0,5.5,1.5,2,0,8,1000.0,1
89,0,3.9,1.2,2,1,19,454.5454545454546,1
93,0,2.9,0.7,3,1,19,434.78260869565213,1
92,0,3.2,1.2,4,1,31,277.77777777777777,0
91,0,3.0,0.7,2,0,25,370.3703703703704,1
91,0,3.2,0.2,2,0,19,476.19047619047615,1
27,0,11.9,0.8,1,1,12,714.2857142857142,0
46,0,11.1,1.3,2,0,10,833.3333333333335,1
69,0,11.3,3.4,2,0,8,1000.0,1
67,0,11.2,3.3,1,1,20,454.5454545454545,0
69,0,11.3,3.5,2,2,24,357.1428571428571,1
72,0,11.6,4.4,0,0,22,454.54545454545456,0
74,0,11.8,5.7,3,0,23,384.6153846153846,1
54,0,5.9,1.6,0,2,19,476.19047619047615,0
65,0,5.3,1.5,2,1,17,500.0,0
64,0,4.7,1.2,1,0,22,434.78260869565224,1
68,0,4.1,1.1,1,0,30,322.58064516129036,0
73,0,4.2,1.4,2,1,26,344.8275862068965,0
74,0,4.6,1.4,3,0,25,357.14285714285717,1
41,0,8.7,2.1,2,0,9,909.0909090909092,1
46,0,8.2,2.6,1,1,13,666.6666666666666,1
60,0,9.0,1.8,3,1,37,243.90243902439025,0
63,0,9.2,1.3,3,1,31,285.7142857142858,2
65,0,9.3,2.0,4,0,42,217.39130434782606,2
68,0,9.5,1.6,3,1,43,212.76595744680847,2
87,0,11.3,2.1,2,2,17,476.1904761904762,1
89,0,10.8,1.8,2,1,11,714.2857142857143,1
91,0,10.1,0.8,2,0,24,384.61538461538464,0
85,0,9.2,1.3,1,1,22,416.66666666666663,0
77,0,8.2,1.8,5,1,26,312.5,0
60,0,6.3,2.4,1,3,36,250.0,0
32,0,9.7,2.3,2,0,19,476.19047619047615,2
34,0,8.8,1.3,0,1,26,370.3703703703704,0
33,0,8.4,1.1,1,1,21,434.78260869565213,0
33,0,8.1,0.8,5,0,15,500.0,1
34,0,7.1,0.2,3,1,23,370.3703703703704,1
39,0,6.6,0.7,5,2,36,232.55813953488374,1
39,0,5.9,0.0,2,3,27,312.5,0
41,0,6.0,1.5,2,1,30,303.030303030303,1
45,0,6.0,1.6,1,1,32,294.11764705882354,1
66,0,5.7,1.7,6,0,24,333.33333333333326,3
66,0,7.2,1.4,2,1,18,476.1904761904762,0
60,0,9.3,1.5,1,1,17,526.3157894736842,0
60,0,6.9,0.2,2,0,13,666.6666666666666,0
64,0,6.5,0.0,1,3,24,357.1428571428571,0
65,0,6.4,0.2,1,1,25,370.3703703703704,0
42,0,8.7,1.0,1,0,11,833.3333333333333,1
50,0,7.1,0.9,1,0,8,1111.111111111111,0
50,0,7.1,0.0,3,0,19,454.5454545454546,1
55,0,7.3,0.5,1,0,19,500.0,0
45,0,9.5,0.7,3,0,9,833.3333333333333,0
55,0,10.6,0.6,1,3,15,526.3157894736843,0
58,0,10.4,0.3,3,1,12,625.0,0
54,0,10.3,1.5,2,1,24,370.3703703703703,1
51,0,12.2,0.9,2,0,16,555.5555555555555,0
93,0,14.1,1.2,1,0,8,1111.111111111111,1
100,2,13.5,1.1,2,0,15,588.2352941176471,1
94,0,11.9,0.7,0,5,28,303.030303030303,0
93,0,12.1,1.3,4,2,27,303.03030303030306,0
92,0,12.1,0.9,2,3,28,303.030303030303,1
90,0,11.9,2.3,2,0,26,357.14285714285717,1
33,0,8.6,3.4,3,0,13,625.0,2
33,0,8.0,2.4,1,1,7,1111.1111111111113,0
25,0,6.0,2.2,2,1,13,625.0,1
18,0,5.8,1.6,1,1,47,204.0816326530612,0
22,0,4.8,1.8,3,3,44,200.0,1
22,0,4.5,2.4,3,1,36,250.0,1
24,0,4.3,1.9,3,0,43,217.3913043478261,0
23,0,4.9,3.6,1,1,12,714.2857142857142,0
34,0,4.8,0.8,0,2,11,769.2307692307692,0
