습도,강수량,기온,풍속,한식,글로벌,패스트푸드
59,0,9.3,0.8,3,0,33
60,0,8.9,0.5,1,3,32
61,0,8.5,0.7,4,2,34
57,0,10.7,0.9,1,0,29
59,0,10.6,1.3,1,1,24
67,0,9.7,1.2,2,0,35
78,0,9.4,1.5,5,4,38
83,0,9.0,0.9,5,1,53
85,0,8.7,1.2,3,3,35
86,0,8.8,0.8,7,1,48
83,0,9.9,0.9,2,1,43
54,0,11.9,1.3,1,1,9
58,0,9.0,1.1,1,2,23
73,0,12.7,2.3,3,1,16
84,0,10.2,1.0,0,4,7
82,0,10.9,0.9,2,0,19
81,0,10.8,0.0,2,1,21
81,0,10.5,0.2,3,1,21
61,0,14.0,1.3,1,3,11
32,0,14.0,0.6,2,2,6
36,0,13.2,0.2,1,1,8
42,0,12.2,0.7,2,1,9
46,0,12.1,0.7,3,0,11
61,0,11.4,0.4,4,1,18
59,0,11.2,0.5,5,0,30
56,0,13.4,0.3,3,1,18
52,0,15.6,1.4,3,0,20
85,0,17.8,2.8,4,3,22
86,0,17.8,1.1,2,2,15
88,0,16.9,0.2,3,0,19
88,0,17.0,0.7,3,1,29
87,0,17.2,0.9,5,0,33
88,0,17.3,1.2,5,0,39
86,0,17.8,1.0,1,1,28
83,0,18.5,2.1,3,1,18
89,0,19.6,2.3,4,1,14
89,0,19.5,2.0,1,1,12
89,0,19.2,1.9,1,1,20
90,0,18.9,1.9,2,4,13
92,0,18.2,1.5,2,1,21
91,0,18.6,1.1,2,1,25
91,0,18.7,1.0,2,2,31
92,0,18.9,1.2,2,1,32
88,0,19.8,0.8,1,1,10
94,0,18.6,1.5,2,0,26
93,0,18.2,0.8,1,2,34
92,0,18.7,0.6,2,1,25
73,0,22.2,0.7,2,1,16
77,0,21.1,0.1,1,0,14
74,0,21.4,1.2,1,1,21
76,0,21.0,1.2,1,4,22
78,0,20.2,0.8,2,2,31
79,0,19.6,0.2,2,0,27
79,0,19.3,0.8,3,0,32
79,0,19.1,0.6,2,0,42
80,0,19.6,1.3,1,0,40
75,0,20.7,1.9,3,0,13
81,0,13.9,1.5,0,1,9
72,0,15.6,1.0,3,0,18
77,0,13.6,0.0,4,2,24
79,0,13.4,1.1,1,0,28
89,0,12.1,0.0,3,3,38
88,0,12.0,0.0,4,1,29
82,0,14.4,1.0,1,3,23
45,0,19.1,0.1,2,0,11
49,0,18.2,0.5,1,1,7
43,0,17.6,2.0,1,1,10
48,0,15.5,1.2,3,0,19
